disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
4269,10618,62683456.32,45072744.7,17610711.62,42436627.06,18409865.58,21154615.6,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,5048239.59,e5965eaed5282c35d796311092042281e38311b4,2024-11-09T08:49:42.136Z,32e7e5ad-f45f-44b9-bd4e-ad54697fbad1
4272,5697,40647560.21,34026997.09,6620563.12,60493125.74,11816972.39,44258130.15,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,7959685.54,044f521e12e979b8081c8e9309e7ece4a5690a85,2024-11-09T08:49:42.136Z,f4f987d9-1354-442c-9e37-bfcad3dd212d
4273,4949,42352923.65,35711175.9,6641747.75,451577941.15,71670540.07,369808058.08,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,36132437.24,18c538218dd68baddbb48a5d3a0f9ea5f94bc546,2024-11-09T08:49:42.136Z,2bf60be9-818e-447d-a056-e371b202aff9
4277,83013,776048445.18,612172870.28,163875574.9,765131649.27,426440645.69,323671635.81,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,138047791.05,ef5b60f5ed74b715c8f9cec4b0dbfb6e84c131ba,2024-11-09T08:49:42.136Z,27dae469-e43c-4899-9fb4-49ed2dedbfc3
4280,1984,8693303.61,6904983.45,1788320.16,60113509.35,31331130.74,26971491.61,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,8318029.79,3df323332540898f4aaec91296b4d202a56206d0,2024-11-09T08:49:42.136Z,6cc754af-1a63-47fe-a9eb-d23f4844dc9b
4283,6817,21105530.96,17967178.06,3138352.9,382876933.47,252083831.29,116548028.06,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,40342468.95,a8ec1b19fa546e2f022e56e1dd227821f0a54d09,2024-11-09T08:49:42.136Z,3b0343f5-4500-4064-bd54-8a23cd161a81
4284,2093,6611177.87,5306453.19,1304724.68,93846302.53,74263812.09,16700557.44,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,14701376.53,691e4890a7c99228c378c5da40f8f0afb631e911,2024-11-09T08:49:42.136Z,dad0662b-1368-41f3-80f3-e981bbb20f38
4285,28971,98842212.59,69249444.05,29592768.54,318539176.24,80547905.47,228181772.77,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,70218658.51,5f887e5f2bdfbdb830344361be8852aa46445618,2024-11-09T08:49:42.136Z,818479ed-539c-4468-a1fd-c880d0dc1c98
4286,11647,39700862.51,32647472.31,7053390.2,246353442.12,164751799.58,73318347.54,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,35442715.64,6645e84fa85a1d17dede4dd0fe5ddea519454af6,2024-11-09T08:49:42.136Z,2bfbfa84-e7bc-4946-a4a5-10f5e3b3b8b1
4290,661,2598417.07,2411058.28,187358.79,7109979.59,1033298.56,5855661.82,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,877789.96,b78b33817f5ff67d4d29bf4ad33df66148184994,2024-11-09T08:49:42.136Z,089f576c-4785-49d2-a36c-2fe94c1a2b1b
4291,2261,10195614.19,8240163.88,1955450.31,16772599.44,9089781.06,7226920.83,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,3770125.81,6fc991f9bcc987e5dce1e030cce92402e132d6a9,2024-11-09T08:49:42.136Z,1ed6e2b0-1d74-45d5-9a51-cddb08208bc7
